State,Population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Alabama,"5,025,369",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Alaska,"733,395",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Arizona,"7,158,110",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Arkansas,"3,011,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.California,"39,555,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Colorado,"5,775,324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Connecticut,"3,607,701",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Delaware,"989,955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.District of Columbia,"689,545",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Florida,"21,538,192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Georgia,"10,713,755",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Hawaii,"1,455,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Idaho,"1,839,140",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Illinois,"12,821,814",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Indiana,"6,786,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Iowa,"3,190,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Kansas,"2,937,745",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Kentucky,"4,506,302",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Louisiana,"4,657,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Maine,"1,363,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Maryland,"6,181,629",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Massachusetts,"7,033,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Michigan,"10,079,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Minnesota,"5,706,692",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Mississippi,"2,961,278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Missouri,"6,154,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Montana,"1,084,216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Nebraska,"1,961,996",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Nevada,"3,105,595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New Hampshire,"1,377,546",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New Jersey,"9,289,014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New Mexico,"2,117,555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.New York,"20,203,772",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.North Carolina,"10,441,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.North Dakota,"779,046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Ohio,"11,799,453",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Oklahoma,"3,959,405",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Oregon,"4,237,224",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Pennsylvania,"13,002,909",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Rhode Island,"1,097,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.South Carolina,"5,118,252",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.South Dakota,"886,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Tennessee,"6,912,347",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Texas,"29,149,458",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Utah,"3,271,608",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Vermont,"643,082",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Virginia,"8,631,388",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Washington,"7,707,586",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.West Virginia,"1,793,736",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Wisconsin,"5,894,170",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
.Wyoming,"576,844",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
