State,Biden (D),Trunp (R),,,,,
Alabama,"849,624","1,441,170",,,,,
Alaska,"153,778","189,951",,,,,
Arizona,"1,672,143","1,661,686",,,,,
Arkansas,"423,932","760,647",,,,,
California,"11,110,639","6,006,518",,,,,
Colorado,"1,804,352","1,364,607",,,,,
Connecticut,"1,080,831","714,717",,,,,
Delaware,"296,268","200,603",,,,,
District of Columbia,"317,323","18,586",,,,,
Florida,"5,297,045","5,668,731",,,,,
Georgia,"2,473,633","2,461,854",,,,,
Hawaii,"366,130","196,864",,,,,
Idaho,"287,021","554,119",,,,,
Illinois,"3,471,915","2,446,891",,,,,
Indiana,"1,242,498","1,729,857",,,,,
Iowa,"759,061","897,672",,,,,
Kansas,"570,323","771,406",,,,,
Kentucky,"772,474","1,326,646",,,,,
Louisiana,"856,034","1,255,776",,,,,
Maine,"435,072","360,737",,,,,
Maryland,"1,985,023","976,414",,,,,
Massachusetts,"2,382,202","1,167,202",,,,,
Michigan,"2,804,040","2,649,852",,,,,
Minnesota,"1,717,077","1,484,065",,,,,
Missisippi,"539,398","756,764",,,,,
Missouri,"1,253,014","1,718,736",,,,,
Montana,"244,786","343,602",,,,,
Nebraska,"374,583","556,846",,,,,
Nevada,"703,486","669,890",,,,,
New Hampshire,"424,937","365,660",,,,,
New Jersey,"2,608,400","1,883,313",,,,,
New Mexico,"501,614","401,894",,,,,
New York,"5,244,886","3,251,997",,,,,
North Carolina,"2,684,292","2,758,775",,,,,
North Dakota,"115,042","235,751",,,,,
Ohio,"2,679,165","3,154,834",,,,,
Oklahoma,"503,890","1,020,280",,,,,
Oregon,"1,340,383","958,448",,,,,
Pennsylvania,"3,458,229","3,377,674",,,,,
Rhode Island,"307,486","199,922",,,,,
South Carolina,"1,091,541","1,385,103",,,,,
South Dakota,"150,471","261,043",,,,,
Tennessee,"1,143,711","1,852,475",,,,,
Texas,"5,259,126","5,890,347",,,,,
Utah,"560,282","865,140",,,,,
Vermont,"242,820","112,704",,,,,
Virginia,"2,413,568","1,962,430",,,,,
Washington,"2,369,612","1,584,651",,,,,
West Verginia,"235,984","545,382",,,,,
Wisconsin,"1,630,866","1,610,184",,,,,
Wyoming,"73,491","193,559",,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
